TEMP = TEMPERATURE                     DP= DEW POINT TEMPERATURE
RH   = RELATIVE HUMIDITY (PERCENT)
WIND = DIRECTION FROM WHICH THE WIND IS COMING

OTHER ABBREVIATIONS:
BLWGSNOW BLOWING SNOW
DRZL  DRIZZLE
FOG   When fog is under 'weather', visibility is 1 MILE OR LESS.
      If mentioned as a remark after "PRESSURE", visibility 6 or less.
FRZ   FREEZING (rain or drizzle that freezes on contact with surfaces)
G     GUST (USED WITH WIND SPEED IN MPH)
HI    HEAT INDEX
HVY   HEAVY  } If snow or rain does not have intensity shown,
LGT   LIGHT  }    it is assumed to be 'moderate'.
MOCLDY MOSTLY CLOUDY                     MOSUNNY MOSTLY SUNNY
PTCLDY PARTLY CLOUDY                     PTSUNNY MOSTLY SUNNY
TC    TEMPERATURE IN DEGREES CELSIUS     TSTM  THUNDERSTORM
VSB   VISIBILITY (IN MILES)              WCI   WIND CHILL INDEX

PITTSBURGH AIRPORT   WEATHER TEMP  DP  RH WIND      PRESSURE
                                F   F   %  MPH       INCHES
10PM EDT MAY 13 2013 PTCLDY    44  22  41 N6        30.17R                     .
11PM EDT MAY 13 2013 PTCLDY    40  25  55 NW3       30.17S                     .
12AM EDT MAY 14 2013 PTCLDY    39  26  59 CALM      30.17S                     .
 1AM EDT MAY 14 2013 PTCLDY    37  27  67 CALM      30.17S                     .
 2AM EDT MAY 14 2013 CLEAR     35  27  72 CALM      30.16F                     .
 3AM EDT MAY 14 2013 CLEAR     34  27  75 CALM      30.15F                     .
 4AM EDT MAY 14 2013 PTCLDY    34  27  75 CALM      30.15S                     .
 5AM EDT MAY 14 2013 PTCLDY    33  27  78 CALM      30.15S                     .
 6AM EDT MAY 14 2013 MOCLDY    31  27  85 CALM      30.15S                     .
 7AM EDT MAY 14 2013 MOCLDY    32  27  81 CALM      30.16R                     .
 8AM EDT MAY 14 2013 PTSUNNY   37  28  70 CALM      30.17R                     .
 9AM EDT MAY 14 2013 PTSUNNY   44  27  51 SE8       30.17S                     .
10AM EDT MAY 14 2013 CLOUDY    49  29  46 VRB3      30.15F                     .
11AM EDT MAY 14 2013 CLOUDY    53  31  42 S7        30.12F                     .
12PM EDT MAY 14 2013 CLOUDY    53  30  41 SW8       30.11F                     .
 1PM EDT MAY 14 2013 CLOUDY    54  31  41 VRB5      30.09F                     .
 2PM EDT MAY 14 2013 PTSUNNY   59  30  33 SW10      30.05F                     .
 3PM EDT MAY 14 2013 PTSUNNY   61  33  35 S12       30.03F                     .
 4PM EDT MAY 14 2013 CLOUDY    61  32  33 SE10      30.00F                     .
 5PM EDT MAY 14 2013 PTSUNNY   62  33  33 SE14      29.97F                     .
 6PM EDT MAY 14 2013 PTSUNNY   62  36  37 S9        29.95F                     .
 7PM EDT MAY 14 2013 CLOUDY    61  36  39 S10       29.94F                     .
 8PM EDT MAY 14 2013 CLOUDY    61  36  39 SE9       29.94S                     .
 9PM EDT MAY 14 2013 CLOUDY    59  36  42 E7        29.93F                     .
10PM EDT MAY 14 2013 CLOUDY    57  37  47 E7        29.94R                     .
11PM EDT MAY 14 2013 MOCLDY    54  37  52 SE3       29.92F                     .
12AM EDT MAY 15 2013 PTCLDY    53  37  54 SE5       29.89F                     .
 1AM EDT MAY 15 2013 PTCLDY    52  37  56 SE3       29.87F                     .
 2AM EDT MAY 15 2013 MOCLDY    53  38  56 SE3       29.86F                     .
 3AM EDT MAY 15 2013 MOCLDY    53  39  59 CALM      29.84F                     .
 4AM EDT MAY 15 2013 MOCLDY    53  39  59 S3        29.84S                     .
 5AM EDT MAY 15 2013 CLOUDY    54  43  66 CALM      29.84S                     .
 6AM EDT MAY 15 2013 CLOUDY    55  46  71 S3        29.82F                     .
 7AM EDT MAY 15 2013 CLOUDY    61  50  67 S3        29.83R                     .
 8AM EDT MAY 15 2013 CLOUDY    64  52  64 S5        29.83S                     .
 9AM EDT MAY 15 2013 CLOUDY    66  54  65 SW13G24   29.80F                     .
10AM EDT MAY 15 2013 CLOUDY    71  55  56 SW13G25   29.79F                     .
11AM EDT MAY 15 2013 CLOUDY    70  55  59 SW14G28   29.79S THUNDER             .
12PM EDT MAY 15 2013 PTSUNNY   73  56  54 SW13G20   29.79F                     .
 1PM EDT MAY 15 2013 PTSUNNY   77  57  50 SW24G31   29.76F                     .
 2PM EDT MAY 15 2013 PTSUNNY   81  57  43 SW17G29   29.75F                     .
 3PM EDT MAY 15 2013 PTSUNNY   83  56  39 SW17G29   29.75S                     .
 4PM EDT MAY 15 2013 PTSUNNY   84  57  39 W14G22    29.75S                     .
 5PM EDT MAY 15 2013 PTSUNNY   84  57  39 W13G22    29.74F                     .
 6PM EDT MAY 15 2013 MOSUNNY   84  55  36 W20G28    29.74S                     .
 7PM EDT MAY 15 2013 MOSUNNY   83  55  38 W16G25    29.75R                     .
 8PM EDT MAY 15 2013 MOCLDY    81  56  42 W9        29.76R                     .
 9PM EDT MAY 15 2013 PTCLDY    77  56  48 W6        29.77R                     .
10PM EDT MAY 15 2013 CLOUDY    75  56  51 SW5       29.79R                     .
11PM EDT MAY 15 2013 MOCLDY    76  56  49 VRB7      29.81R                     .
12AM EDT MAY 16 2013 MOCLDY    70  55  59 W6        29.80F                     .
 1AM EDT MAY 16 2013 MOCLDY    67  60  78 CALM      29.79F                     .
 2AM EDT MAY 16 2013 CLOUDY    67  60  78 SW5       29.80R                     .
 3AM EDT MAY 16 2013 TSTM      67  57  70 W9        29.81R                     .
 4AM EDT MAY 16 2013 TSTM      61  58  90 W7        29.82R FOG                 .
 5AM EDT MAY 16 2013 RAIN      63  60  90 SW7       29.82S FOG                 .
 6AM EDT MAY 16 2013 CLOUDY    63  60  90 W5        29.82S                     .
 7AM EDT MAY 16 2013 CLOUDY    63  60  90 SW7       29.84R FOG                 .
 8AM EDT MAY 16 2013 PTSUNNY   64  60  87 SW6       29.87R FOG                 .
 9AM EDT MAY 16 2013 CLOUDY    65  60  84 SW7       29.88R                     .
10AM EDT MAY 16 2013 PTSUNNY   67  59  75 NW10G16   29.89R                     .
11AM EDT MAY 16 2013 MOSUNNY   70  58  65 W8        29.90R                     .
12PM EDT MAY 16 2013 PTSUNNY   74  53  48 NW10      29.91R                     .
 1PM EDT MAY 16 2013 PTSUNNY   77  46  33 VRB3      29.90F                     .
 2PM EDT MAY 16 2013 PTSUNNY   76  46  34 W7        29.91R                     .
 3PM EDT MAY 16 2013 CLOUDY    76  45  33 VRB7      29.91S                     .
 4PM EDT MAY 16 2013 MOSUNNY   77  45  32 SW7       29.90F                     .
 5PM EDT MAY 16 2013 MOSUNNY   77  44  30 W6        29.91R                     .
 6PM EDT MAY 16 2013 MOSUNNY   78  43  28 W8G18     29.91S                     .
 7PM EDT MAY 16 2013 MOSUNNY   77  44  30 W8        29.91S                     .
 8PM EDT MAY 16 2013 PTCLDY    75  43  31 W5        29.93R                     .
 9PM EDT MAY 16 2013 PTCLDY    71  45  39 SW6       29.95R                     .
10PM EDT MAY 16 2013 PTCLDY    68  48  48 W5        29.97R                     .
11PM EDT MAY 16 2013 PTCLDY    64  54  69 W5        29.98R                     .
12AM EDT MAY 17 2013 PTCLDY    65  54  67 NW3       29.99R                     .
 1AM EDT MAY 17 2013 CLEAR     63  54  72 W3        29.99S                     .
 2AM EDT MAY 17 2013 CLEAR     59  54  83 W3        30.01R                     .
 3AM EDT MAY 17 2013 CLEAR     60  56  86 CALM      30.01S                     .
 4AM EDT MAY 17 2013 FOG       58  57  97 SW3       30.02R VSB 1/8             .
 5AM EDT MAY 17 2013 FOG       59  58  96 W5        30.04R VSB 1               .
 6AM EDT MAY 17 2013 CLOUDY    59  58  96 CALM      30.06R FOG                 .
 7AM EDT MAY 17 2013 MOCLDY    60  58  92 CALM      30.07S FOG                 .
 8AM EDT MAY 17 2013 PTSUNNY   62  58  86 S3        30.10R FOG                 .
 9AM EDT MAY 17 2013 PTSUNNY   64  57  77 S7        30.11R HAZE                .
10AM EDT MAY 17 2013 PTSUNNY   67  57  70 CALM      30.12R HAZE                .
11AM EDT MAY 17 2013 PTSUNNY   68  57  68 CALM      30.12S HAZE                .
12PM EDT MAY 17 2013 MOSUNNY   71  57  61 CALM      30.12S                     .
 1PM EDT MAY 17 2013 PTSUNNY   74  58  57 CALM      30.11F                     .
 2PM EDT MAY 17 2013 PTSUNNY   75  56  51 VRB5      30.10F                     .
 3PM EDT MAY 17 2013 MOSUNNY   77  55  46 NW12      30.09F                     .
 4PM EDT MAY 17 2013 MOSUNNY   79  54  41 NW10      30.07F                     .
 5PM EDT MAY 17 2013 MOSUNNY   80  50  34 N6        30.06F                     .
 6PM EDT MAY 17 2013 MOSUNNY   78  50  37 N5        30.07R                     .
 7PM EDT MAY 17 2013 MOSUNNY   77  52  41 NE6       30.07S                     .
 8PM EDT MAY 17 2013 MOCLDY    77  51  40 NE3       30.07S                     .
 9PM EDT MAY 17 2013 PTCLDY    74  52  46 N5        30.09R                     .
10PM EDT MAY 17 2013 PTCLDY    71  48  43 N5        30.11R                     .
11PM EDT MAY 17 2013 MOCLDY    70  44  39 N8        30.11S                     .
12AM EDT MAY 18 2013 PTCLDY    67  43  41 NE7       30.11S                     .
 1AM EDT MAY 18 2013 PTCLDY    65  41  41 NE3       30.11S                     .
 2AM EDT MAY 18 2013 MOCLDY    63  40  42 NE3       30.11S                     .
 3AM EDT MAY 18 2013 MOCLDY    62  40  44 NE3       30.10F                     .
 4AM EDT MAY 18 2013 MOCLDY    60  42  51 E3        30.10S                     .
 5AM EDT MAY 18 2013 MOCLDY    58  45  62 NE3       30.10S                     .
 6AM EDT MAY 18 2013 MOCLDY    57  46  66 NE3       30.11R                     .
 7AM EDT MAY 18 2013 MOCLDY    57  47  69 E3        30.13R                     .
 8AM EDT MAY 18 2013 MOSUNNY   60  47  61 E7        30.14R                     .
 9AM EDT MAY 18 2013 MOSUNNY   64  48  56 E3        30.14S                     .
10AM EDT MAY 18 2013 PTSUNNY   67  49  52 CALM      30.14S                     .
11AM EDT MAY 18 2013 PTSUNNY   70  51  51 CALM      30.13F                     .
12PM EDT MAY 18 2013 PTSUNNY   74  53  48 CALM      30.12F                     .
 1PM EDT MAY 18 2013 PTSUNNY   78  53  41 E10       30.10F                     .
 2PM EDT MAY 18 2013 PTSUNNY   79  51  37 VRB3      30.10S                     .
 3PM EDT MAY 18 2013 PTSUNNY   80  51  36 N3        30.07F                     .
 4PM EDT MAY 18 2013 PTSUNNY   81  52  36 VRB5      30.06F                     .
 5PM EDT MAY 18 2013 CLOUDY    80  52  37 E3        30.05F                     .
 6PM EDT MAY 18 2013 PTSUNNY   79  54  41 E7        30.05S                     .
 7PM EDT MAY 18 2013 PTSUNNY   78  58  49 SE13      30.05S                     .
 8PM EDT MAY 18 2013 MOCLDY    75  57  53 SE12      30.06R                     .
 9PM EDT MAY 18 2013 MOCLDY    72  57  59 SE7       30.07R                     .
10PM EDT MAY 18 2013 CLOUDY    71  58  63 SE10      30.09R                     .
11PM EDT MAY 18 2013 CLOUDY    70  59  68 SE10      30.09S                     .
12AM EDT MAY 19 2013 MOCLDY    68  58  70 SE8       30.09S                     .
 1AM EDT MAY 19 2013 MOCLDY    66  58  75 SE9       30.08F                     .
 2AM EDT MAY 19 2013 PTCLDY    64  57  78 E7        30.08S                     .
 3AM EDT MAY 19 2013 PTCLDY    63  57  81 E7        30.07F                     .
 4AM EDT MAY 19 2013 PTCLDY    62  57  83 SE7       30.07S                     .
 5AM EDT MAY 19 2013 PTCLDY    61  57  87 E6        30.07S                     .
 6AM EDT MAY 19 2013 MOCLDY    60  56  86 E3        30.09R                     .
 7AM EDT MAY 19 2013 MOCLDY    60  56  86 E6        30.10R                     .
 8AM EDT MAY 19 2013 PTSUNNY   63  57  81 SE8       30.11R                     .
 9AM EDT MAY 19 2013 PTSUNNY   65  57  75 E8        30.12R                     .
10AM EDT MAY 19 2013 CLOUDY    67  58  72 SE8       30.11F                     .
11AM EDT MAY 19 2013 PTSUNNY   71  59  65 E9        30.10F                     .
12PM EDT MAY 19 2013 PTSUNNY   73  59  61 SE10      30.09F                     .
 1PM EDT MAY 19 2013 PTSUNNY   74  59  59 SE14      30.06F                     .
 2PM EDT MAY 19 2013 PTSUNNY   75  60  59 S7        30.05F                     .
 3PM EDT MAY 19 2013 CLOUDY    75  60  59 S7        30.04F                     .
 4PM EDT MAY 19 2013 CLOUDY    75  59  57 E3        30.02F                     .
 5PM EDT MAY 19 2013 CLOUDY    75  60  59 SE8       30.01F                     .
 6PM EDT MAY 19 2013 CLOUDY    75  60  59 SE6       30.02R                     .
 7PM EDT MAY 19 2013 CLOUDY    75  61  61 E7        29.99F                     .
 8PM EDT MAY 19 2013 MOCLDY    74  61  63 E9        30.00R                     .
 9PM EDT MAY 19 2013 MOCLDY    72  60  66 E8        30.02R                     .
10PM EDT MAY 19 2013 PTCLDY    69  59  70 E12       30.05R                     .
11PM EDT MAY 19 2013 MOCLDY    69  59  70 SE9       30.05S                     .
12AM EDT MAY 20 2013 MOCLDY    68  60  75 SE7       30.03F                     .
 1AM EDT MAY 20 2013 MOCLDY    67  60  78 SE7       30.02F                     .
 2AM EDT MAY 20 2013 PTCLDY    66  60  81 SE6       30.01F                     .
 3AM EDT MAY 20 2013 PTCLDY    65  59  81 SE3       30.00F                     .
 4AM EDT MAY 20 2013 PTCLDY    62  59  90 E3        30.01R                     .
 5AM EDT MAY 20 2013 PTCLDY    62  59  90 CALM      30.02R                     .
 6AM EDT MAY 20 2013 MOCLDY    62  59  90 CALM      30.04R                     .
 7AM EDT MAY 20 2013 PTCLDY    62  59  90 SE3       30.03F                     .
 8AM EDT MAY 20 2013 MOSUNNY   66  60  81 S6        30.05R                     .
 9AM EDT MAY 20 2013 MOSUNNY   69  61  75 S5        30.05S                     .
10AM EDT MAY 20 2013 PTSUNNY   71  62  73 SW5       30.04S                     .
11AM EDT MAY 20 2013 PTSUNNY   75  63  66 S10       30.03F                     .
12PM EDT MAY 20 2013 MOSUNNY   76  64  66 S8        30.03S                     .
 1PM EDT MAY 20 2013 PTSUNNY   79  64  60 SW8       30.03S                     .
 2PM EDT MAY 20 2013 PTSUNNY   81  64  56 SW7       30.02F                     .
 3PM EDT MAY 20 2013 PTSUNNY   82  63  52 SW9       30.00F                     .
 4PM EDT MAY 20 2013 MOSUNNY   83  63  50 SW5       29.97F                     .
 5PM EDT MAY 20 2013 MOSUNNY   83  62  49 S8        29.95F                     .
 6PM EDT MAY 20 2013 MOSUNNY   84  62  47 VRB5      29.95S HX  85              .
 7PM EDT MAY 20 2013 MOSUNNY   84  62  47 S7        29.93F HX  85              .
 8PM EDT MAY 20 2013 PTCLDY    82  62  50 SW6       29.93S                     .
 9PM EDT MAY 20 2013 PTCLDY    78  63  59 SW5       29.94R                     .
10PM EDT MAY 20 2013 PTCLDY    77  64  64 SW5       29.97R                     .
11PM EDT MAY 20 2013 PTCLDY    74  65  73 SW5       29.97S                     .
12AM EDT MAY 21 2013 PTCLDY    73  65  75 S3        29.96F                     .
 1AM EDT MAY 21 2013 NOT AVBL                                                  .
 2AM EDT MAY 21 2013 NOT AVBL                                                  .
 3AM EDT MAY 21 2013 NOT AVBL                                                  .
 4AM EDT MAY 21 2013 NOT AVBL                                                  .
 5AM EDT MAY 21 2013 FAIR      66  63  90 S3        29.94F                     .
 6AM EDT MAY 21 2013 MOCLDY    66  63  90 S3        29.96R FOG                 .
 7AM EDT MAY 21 2013 PTCLDY    66  63  90 S3        29.97R FOG                 .
 8AM EDT MAY 21 2013 MOSUNNY   70  64  81 S6        29.97S HAZE                .
 9AM EDT MAY 21 2013 CLOUDY    74  65  73 S7        29.96F                     .
10AM EDT MAY 21 2013 CLOUDY    76  65  68 SW10      29.96S                     .
11AM EDT MAY 21 2013 CLOUDY    80  65  59 S9        29.95F                     .
12PM EDT MAY 21 2013 CLOUDY    81  64  56 SW12      29.94F                     .
 1PM EDT MAY 21 2013 CLOUDY    83  64  52 SW10      29.93F                     .
 2PM EDT MAY 21 2013 CLOUDY    82  64  54 W13       29.92F                     .
 3PM EDT MAY 21 2013 PTSUNNY   84  64  50 SW8       29.89F HX  85              .
 4PM EDT MAY 21 2013 PTSUNNY   85  63  47 SW9G22    29.88F HX  86              .
 5PM EDT MAY 21 2013 PTSUNNY   85  62  46 S10       29.86F HX  85              .
 6PM EDT MAY 21 2013 PTSUNNY   85  61  44 SW13      29.85F HX  85              .
 7PM EDT MAY 21 2013 PTSUNNY   85  60  42 SW12      29.85S HX  85              .
 8PM EDT MAY 21 2013 MOCLDY    83  61  47 SW6       29.85S                     .
 9PM EDT MAY 21 2013 MOCLDY    80  63  55 S3        29.85S                     .
10PM EDT MAY 21 2013 CLOUDY    77  58  51 SW12G20   29.87R                     .
11PM EDT MAY 21 2013 MOCLDY    74  60  61 SW6       29.88R                     .
12AM EDT MAY 22 2013 MOCLDY    72  60  66 S6        29.88S                     .
 1AM EDT MAY 22 2013 CLOUDY    70  61  73 CALM      29.87F                     .
 2AM EDT MAY 22 2013 CLOUDY    72  62  71 S9        29.85F                     .
 3AM EDT MAY 22 2013 MOCLDY    70  62  76 SW8       29.85S                     .
 4AM EDT MAY 22 2013 FAIR      69  60  73 SW10      29.86R                     .
 5AM EDT MAY 22 2013 FAIR      67  60  78 SW7       29.86S                     .
 6AM EDT MAY 22 2013 MOCLDY    66  59  78 SW6       29.87R                     .
 7AM EDT MAY 22 2013 MOCLDY    65  59  81 S3        29.88R                     .
 8AM EDT MAY 22 2013 PTSUNNY   67  59  75 S7        29.90R                     .
 9AM EDT MAY 22 2013 PTSUNNY   71  59  65 S9        29.90S                     .
10AM EDT MAY 22 2013 PTSUNNY   74  60  61 S8        29.89F                     .
11AM EDT MAY 22 2013 PTSUNNY   77  59  53 S9        29.89S                     .
12PM EDT MAY 22 2013 FAIR      81  60  48 S10G17    29.88F                     .
 1PM EDT MAY 22 2013 FAIR      83  62  49 SW13G22   29.86F                     .
 2PM EDT MAY 22 2013 FAIR      85  60  42 SW16G25   29.83F HX  85              .
 3PM EDT MAY 22 2013 PTSUNNY   85  59  41 SW13G22   29.82F                     .
 4PM EDT MAY 22 2013 FAIR      85  60  42 SW12G18   29.79F HX  85              .
 5PM EDT MAY 22 2013 PTSUNNY   83  61  47 S15       29.80R                     .
 6PM EDT MAY 22 2013 TSTM      77  62  59 S13G23    29.78F                     .
 7PM EDT MAY 22 2013 PTSUNNY   72  63  73 VRB7      29.81R                     .
 8PM EDT MAY 22 2013 MOCLDY    71  59  65 S9        29.81S                     .
 9PM EDT MAY 22 2013 MOCLDY    69  59  70 S6        29.81S                     .
10PM EDT MAY 22 2013 CLOUDY    70  59  68 S8        29.82R                     .
11PM EDT MAY 22 2013 LGT RAIN  69  60  73 S10       29.82S                     .
12AM EDT MAY 23 2013 CLOUDY    69  59  70 S7        29.82S                     .
 1AM EDT MAY 23 2013 LGT RAIN  67  61  81 S8        29.82S                     .
 2AM EDT MAY 23 2013 LGT RAIN  64  61  90 S9        29.83S                     .
 3AM EDT MAY 23 2013 CLOUDY    64  61  90 S5        29.82F                     .
 4AM EDT MAY 23 2013 CLOUDY    64  60  87 S6        29.80F                     .
 5AM EDT MAY 23 2013 CLOUDY    64  60  87 SW5       29.81R                     .
 6AM EDT MAY 23 2013 CLOUDY    64  61  90 S5        29.82R                     .
 7AM EDT MAY 23 2013 CLOUDY    64  61  90 SW7       29.83R                     .
 8AM EDT MAY 23 2013 PTSUNNY   65  61  87 SW6       29.84R                     .
 9AM EDT MAY 23 2013 PTSUNNY   66  61  84 SW9       29.84S                     .
10AM EDT MAY 23 2013 PTSUNNY   70  60  70 SW10      29.84S                     .
11AM EDT MAY 23 2013 MOSUNNY   71  58  63 W14       29.84S                     .
12PM EDT MAY 23 2013 PTSUNNY   74  57  55 SW8G16    29.83F                     .
 1PM EDT MAY 23 2013 PTSUNNY   73  55  53 SW10      29.81F                     .
 2PM EDT MAY 23 2013 TSTM      66  59  78 W10G21    29.82R                     .
 3PM EDT MAY 23 2013 PTSUNNY   63  59  87 S8        29.81F                     .
 4PM EDT MAY 23 2013 PTSUNNY   67  59  75 S7        29.79F                     .
 5PM EDT MAY 23 2013 PTSUNNY   70  58  65 S14       29.77F                     .
 6PM EDT MAY 23 2013 TSTM      64  57  78 W15G29    29.80R                     .
 7PM EDT MAY 23 2013 LGT RAIN  64  60  87 S5        29.79F                     .
 8PM EDT MAY 23 2013 TSTM      63  59  87 NW8       29.81R                     .
 9PM EDT MAY 23 2013 MOCLDY    61  57  88 NW10      29.83R                     .
10PM EDT MAY 23 2013 CLOUDY    60  55  83 NW14      29.84R                     .
11PM EDT MAY 23 2013 DRIZZLE   51  49  92 NW18      29.90R FOG                 .
12AM EDT MAY 24 2013 DRIZZLE   49  45  86 NW15G25   29.92R FOG                 .
 1AM EDT MAY 24 2013 CLOUDY    47  43  86 NW18G24   29.93R                     .
 2AM EDT MAY 24 2013 DRIZZLE   46  42  86 NW14      29.95R                     .
 3AM EDT MAY 24 2013 LGT RAIN  46  41  82 NW15      29.96R                     .
 4AM EDT MAY 24 2013 CLOUDY    44  41  89 NW17G23   29.99R                     .
 5AM EDT MAY 24 2013 CLOUDY    44  40  85 NW17G24   30.01R                     .
 6AM EDT MAY 24 2013 DRIZZLE   43  40  89 NW14      30.04R FOG                 .
 7AM EDT MAY 24 2013 CLOUDY    43  39  86 NW22G30   30.07R                     .
 8AM EDT MAY 24 2013 DRIZZLE   43  38  82 NW20      30.09R                     .
 9AM EDT MAY 24 2013 CLOUDY    43  38  82 N14       30.13R                     .
10AM EDT MAY 24 2013 CLOUDY    45  36  70 NW15      30.14R                     .
11AM EDT MAY 24 2013 CLOUDY    45  36  70 NW15      30.16R                     .
12PM EDT MAY 24 2013 CLOUDY    46  35  65 NW15      30.18R                     .
 1PM EDT MAY 24 2013 CLOUDY    46  33  60 NW16G28   30.19R                     .
 2PM EDT MAY 24 2013 CLOUDY    47  33  58 NW17G24   30.21R                     .
 3PM EDT MAY 24 2013 CLOUDY    49  32  52 NW22G28   30.21S                     .
 4PM EDT MAY 24 2013 CLOUDY    48  32  53 NW15G22   30.22R                     .
 5PM EDT MAY 24 2013 CLOUDY    49  31  49 N20       30.22S                     .
 6PM EDT MAY 24 2013 CLOUDY    47  32  56 NW14G23   30.24R                     .
 7PM EDT MAY 24 2013 CLOUDY    46  31  55 NW18      30.25R                     .
 8PM EDT MAY 24 2013 CLOUDY    45  30  55 NW20G28   30.27R                     .
 9PM EDT MAY 24 2013 CLOUDY    44  30  57 N10       30.26F                     .
10PM EDT MAY 24 2013 CLOUDY    43  30  60 N8        30.27R                     .
11PM EDT MAY 24 2013 CLOUDY    41  30  65 NW6       30.28R                     .
12AM EDT MAY 25 2013 PTCLDY    40  30  67 NW5       30.28S                     .
 1AM EDT MAY 25 2013 PTCLDY    37  31  78 W5        30.27F                     .
 2AM EDT MAY 25 2013 CLEAR     35  31  85 W6        30.27S WCI  30             .
 3AM EDT MAY 25 2013 CLEAR     36  31  82 NW8       30.27S                     .
 4AM EDT MAY 25 2013 CLEAR     34  30  85 W7        30.28R WCI  28             .
 5AM EDT MAY 25 2013 CLEAR     33  30  88 W5        30.27F WCI  29             .
 6AM EDT MAY 25 2013 MOCLDY    34  30  85 W8        30.29R WCI  27             .
 7AM EDT MAY 25 2013 MOSUNNY   34  31  88 W6        30.30R WCI  29             .
 8AM EDT MAY 25 2013 MOSUNNY   39  33  79 W8        30.30S                     .
 9AM EDT MAY 25 2013 MOSUNNY   44  36  73 N9        30.29F                     .
10AM EDT MAY 25 2013 MOSUNNY   48  35  60 NW14      30.31R                     .
11AM EDT MAY 25 2013 MOSUNNY   51  34  52 NW13G20   30.31S                     .
12PM EDT MAY 25 2013 PTSUNNY   54  33  45 N12G18    30.30F                     .
 1PM EDT MAY 25 2013 PTSUNNY   56  33  42 NW16G24   30.27F                     .
 2PM EDT MAY 25 2013 MOSUNNY   59  34  39 NW16G25   30.25F                     .
 3PM EDT MAY 25 2013 MOSUNNY   61  32  33 NW20G30   30.23F                     .
 4PM EDT MAY 25 2013 PTSUNNY   62  31  31 W18G28    30.24R                     .
 5PM EDT MAY 25 2013 PTSUNNY   61  29  29 NW16G28   30.23F                     .
 6PM EDT MAY 25 2013 PTSUNNY   61  29  29 N18G26    30.23S                     .
 7PM EDT MAY 25 2013 PTSUNNY   60  31  33 NW15G25   30.22F                     .
 8PM EDT MAY 25 2013 MOCLDY    57  29  34 NW16      30.23R                     .
 9PM EDT MAY 25 2013 PTCLDY    54  30  40 NW14      30.23S                     .
10PM EDT MAY 25 2013 PTCLDY    51  31  46 NW9       30.24R                     .
11PM EDT MAY 25 2013 PTCLDY    49  31  49 NW8       30.24S                     .
12AM EDT MAY 26 2013 PTCLDY    47  31  53 NW7       30.24S                     .
 1AM EDT MAY 26 2013 PTCLDY    46  30  53 NW9       30.25R                     .
 2AM EDT MAY 26 2013 PTCLDY    43  31  62 W5        30.24F                     .
 3AM EDT MAY 26 2013 PTCLDY    41  30  65 W6        30.24S                     .
 4AM EDT MAY 26 2013 PTCLDY    40  30  67 NW3       30.23F                     .
 5AM EDT MAY 26 2013 PTCLDY    38  31  76 W3        30.24R                     .
 6AM EDT MAY 26 2013 PTCLDY    37  30  75 W6        30.25R                     .
 7AM EDT MAY 26 2013 MOSUNNY   41  32  70 NW7       30.27R                     .
 8AM EDT MAY 26 2013 MOSUNNY   45  35  68 NW7       30.28R                     .
 9AM EDT MAY 26 2013 SUNNY     49  36  61 NW6       30.29R                     .
10AM EDT MAY 26 2013 SUNNY     53  35  50 W7        30.29S                     .
11AM EDT MAY 26 2013 MOSUNNY   57  34  41 NW8       30.28F                     .
12PM EDT MAY 26 2013 MOSUNNY   59  33  37 NW8       30.27F                     .
 1PM EDT MAY 26 2013 MOSUNNY   61  30  31 NW14      30.27S                     .
 2PM EDT MAY 26 2013 MOSUNNY   63  31  30 NW10G20   30.26F                     .
 3PM EDT MAY 26 2013 PTSUNNY   65  33  30 N8G20     30.25F                     .
 4PM EDT MAY 26 2013 PTSUNNY   65  34  31 W9G16     30.24F                     .
 5PM EDT MAY 26 2013 MOSUNNY   66  33  29 NW10      30.23F                     .
 6PM EDT MAY 26 2013 PTSUNNY   66  32  28 NW13      30.22F                     .
 7PM EDT MAY 26 2013 PTSUNNY   65  30  27 N10       30.21F                     .
 8PM EDT MAY 26 2013 MOCLDY    63  30  28 N8        30.21S                     .
 9PM EDT MAY 26 2013 MOCLDY    60  29  30 N8        30.22R                     .
10PM EDT MAY 26 2013 MOCLDY    57  29  34 N5        30.23R                     .
11PM EDT MAY 26 2013 MOCLDY    53  35  50 CALM      30.24R                     .
12AM EDT MAY 27 2013 MOCLDY    51  35  54 CALM      30.25R                     .
 1AM EDT MAY 27 2013 PTCLDY    47  36  65 W3        30.26R                     .
 2AM EDT MAY 27 2013 PTCLDY    46  36  68 CALM      30.26S                     .
 3AM EDT MAY 27 2013 PTCLDY    45  36  70 CALM      30.26S                     .
 4AM EDT MAY 27 2013 PTCLDY    43  36  76 CALM      30.26S                     .
 5AM EDT MAY 27 2013 MOCLDY    42  36  79 CALM      30.25F                     .
 6AM EDT MAY 27 2013 MOCLDY    41  36  82 CALM      30.26R                     .
 7AM EDT MAY 27 2013 PTSUNNY   44  38  79 CALM      30.27R                     .
 8AM EDT MAY 27 2013 CLOUDY    48  41  76 CALM      30.27S                     .
 9AM EDT MAY 27 2013 CLOUDY    53  40  61 CALM      30.27S                     .
10AM EDT MAY 27 2013 CLOUDY    57  37  47 SE6       30.27S                     .
11AM EDT MAY 27 2013 CLOUDY    58  38  47 SE3       30.27S                     .
12PM EDT MAY 27 2013 CLOUDY    59  38  45 S3        30.26F                     .
 1PM EDT MAY 27 2013 CLOUDY    59  38  45 CALM      30.26S                     .
